image_file,time,truth,category,lower,estimate,upper
[0991]_29-11-2014_2040.jpg,2014-11-29 07:40:20,,new,9,9,9
[0992]_29-11-2014_2050.jpg,2014-11-29 07:50:20,,new,11,11,11
[0993]_29-11-2014_2100.jpg,2014-11-29 08:00:20,,new,9,9,9
[0994]_29-11-2014_2110.jpg,2014-11-29 08:10:20,,new,9,9,9
[0995]_29-11-2014_2120.jpg,2014-11-29 08:20:20,8,train,8,8,8
[0996]_29-11-2014_2130.jpg,2014-11-29 08:30:20,,new,7,7,7
[0997]_29-11-2014_2150.jpg,2014-11-29 08:50:20,,new,7,7,7
[0998]_29-11-2014_2200.jpg,2014-11-29 09:00:20,,new,7,7,7
[0999]_29-11-2014_2210.jpg,2014-11-29 09:10:20,,new,8,8,8
[1000]_29-11-2014_2220.jpg,2014-11-29 09:20:20,,new,8,8,8
[1001]_29-11-2014_2230.jpg,2014-11-29 09:30:20,,new,7,7,7
[1002]_29-11-2014_2240.jpg,2014-11-29 09:40:20,,new,8,8,8
[1003]_29-11-2014_2250.jpg,2014-11-29 09:50:20,,new,7,7,7
[1004]_29-11-2014_2300.jpg,2014-11-29 10:00:20,,new,7,7,7
[1005]_29-11-2014_2310.jpg,2014-11-29 10:10:20,,new,9,9,9
[1006]_29-11-2014_2320.jpg,2014-11-29 10:20:20,,new,8,8,8
[1007]_29-11-2014_2330.jpg,2014-11-29 10:30:20,,new,7,7,7
[1008]_29-11-2014_2340.jpg,2014-11-29 10:40:20,,new,4,4,4
[1009]_29-11-2014_2350.jpg,2014-11-29 10:50:20,,new,3,3,3
[1010]_30-11-2014_0000.jpg,2014-11-29 11:00:20,,new,5,5,5
[1011]_30-11-2014_0010.jpg,2014-11-29 11:10:20,,new,5,5,5
[1012]_30-11-2014_0020.jpg,2014-11-29 11:20:20,,new,3,3,3
[1013]_30-11-2014_0030.jpg,2014-11-29 11:30:20,,new,3,3,3
[1014]_30-11-2014_0040.jpg,2014-11-29 11:40:20,,new,4,4,4
[1015]_30-11-2014_0050.jpg,2014-11-29 11:50:20,,new,3,3,3
[1016]_30-11-2014_0100.jpg,2014-11-29 12:00:20,,new,3,3,3
[1017]_30-11-2014_0110.jpg,2014-11-29 12:10:20,,new,2,2,2
[1018]_30-11-2014_0120.jpg,2014-11-29 12:20:20,,new,3,3,3
[1019]_30-11-2014_0130.jpg,2014-11-29 12:30:20,,new,3,3,3
[1020]_30-11-2014_0140.jpg,2014-11-29 12:40:20,,new,3,3,3
[1021]_30-11-2014_0150.jpg,2014-11-29 12:50:20,,new,3,3,3
[1022]_30-11-2014_0200.jpg,2014-11-29 13:00:20,3,train,3,3,3
[1023]_30-11-2014_0210.jpg,2014-11-29 13:10:20,,new,3,3,3
[1024]_30-11-2014_0220.jpg,2014-11-29 13:20:20,,new,3,3,3
[1025]_30-11-2014_0230.jpg,2014-11-29 13:30:20,,new,3,3,3
[1026]_30-11-2014_0240.jpg,2014-11-29 13:40:20,,new,3,3,3
[1027]_30-11-2014_0250.jpg,2014-11-29 13:50:20,,new,4,4,4
[1028]_30-11-2014_0300.jpg,2014-11-29 14:00:20,,new,2,2,2
[1029]_30-11-2014_0310.jpg,2014-11-29 14:10:20,,new,2,2,2
[1030]_30-11-2014_0320.jpg,2014-11-29 14:20:20,,new,2,2,2
[1031]_30-11-2014_0330.jpg,2014-11-29 14:30:20,,new,2,2,2
[1032]_30-11-2014_0340.jpg,2014-11-29 14:40:20,,new,2,2,2
[1033]_30-11-2014_0350.jpg,2014-11-29 14:50:20,,new,2,2,2
[1034]_30-11-2014_0400.jpg,2014-11-29 15:00:20,,new,2,2,2
[1035]_30-11-2014_0410.jpg,2014-11-29 15:10:20,,new,2,3,3
[1036]_30-11-2014_0420.jpg,2014-11-29 15:20:20,,new,2,2,2
[1037]_30-11-2014_0430.jpg,2014-11-29 15:30:20,,new,2,2,2
[1038]_30-11-2014_0440.jpg,2014-11-29 15:40:20,,new,2,2,2
[1039]_30-11-2014_0450.jpg,2014-11-29 15:50:20,,new,2,2,2
[1040]_30-11-2014_0500.jpg,2014-11-29 16:00:20,,new,3,3,3
[1041]_30-11-2014_0510.jpg,2014-11-29 16:10:20,,new,3,3,3
[1042]_30-11-2014_0520.jpg,2014-11-29 16:20:20,,new,4,5,5
[1043]_30-11-2014_0530.jpg,2014-11-29 16:30:20,,new,3,3,3
[1044]_30-11-2014_0540.jpg,2014-11-29 16:40:20,,new,2,2,2
[1045]_30-11-2014_0550.jpg,2014-11-29 16:50:20,,new,2,2,2
[1046]_30-11-2014_0600.jpg,2014-11-29 17:00:20,,new,2,2,2
[1047]_30-11-2014_0610.jpg,2014-11-29 17:10:20,,new,2,2,2
[1048]_30-11-2014_0620.jpg,2014-11-29 17:20:20,,new,1,1,1
[1049]_30-11-2014_0630.jpg,2014-11-29 17:30:20,,new,1,1,1
[1050]_30-11-2014_0640.jpg,2014-11-29 17:40:20,,new,1,1,1
[1051]_30-11-2014_0650.jpg,2014-11-29 17:50:20,,new,1,1,1
[1052]_30-11-2014_0700.jpg,2014-11-29 18:00:20,,new,0,0,0
[1053]_30-11-2014_0710.jpg,2014-11-29 18:10:20,3,test,1,1,1
[1054]_30-11-2014_0720.jpg,2014-11-29 18:20:20,,new,1,1,1
[1055]_30-11-2014_0730.jpg,2014-11-29 18:30:20,,new,1,1,1
[1056]_30-11-2014_0740.jpg,2014-11-29 18:40:20,,new,1,1,1
[1057]_30-11-2014_0750.jpg,2014-11-29 18:50:20,,new,1,1,1
[1058]_30-11-2014_0800.jpg,2014-11-29 19:00:20,,new,4,4,4
[1059]_30-11-2014_0810.jpg,2014-11-29 19:10:20,,new,5,5,5
[1060]_30-11-2014_0820.jpg,2014-11-29 19:20:20,,new,1,1,1
[1061]_30-11-2014_0830.jpg,2014-11-29 19:30:20,,new,2,2,2
[1062]_30-11-2014_0840.jpg,2014-11-29 19:40:20,,new,2,2,2
[1063]_30-11-2014_0850.jpg,2014-11-29 19:50:20,,new,2,2,2
[1064]_30-11-2014_0900.jpg,2014-11-29 20:00:20,,new,2,2,2
[1065]_30-11-2014_0910.jpg,2014-11-29 20:10:20,,new,4,4,4
[1066]_30-11-2014_0920.jpg,2014-11-29 20:20:20,,new,2,2,2
[1067]_30-11-2014_0930.jpg,2014-11-29 20:30:20,,new,2,2,2
[1068]_30-11-2014_0940.jpg,2014-11-29 20:40:20,,new,3,3,3
[1069]_30-11-2014_0950.jpg,2014-11-29 20:50:20,,new,3,3,3
[1070]_30-11-2014_1000.jpg,2014-11-29 21:00:20,,new,3,3,3
[1071]_30-11-2014_1010.jpg,2014-11-29 21:10:20,,new,3,3,3
[1072]_30-11-2014_1020.jpg,2014-11-29 21:20:20,,new,2,2,2
[1073]_30-11-2014_1030.jpg,2014-11-29 21:30:20,,new,5,5,5
[1074]_30-11-2014_1040.jpg,2014-11-29 21:40:20,,new,2,2,2
[1075]_30-11-2014_1050.jpg,2014-11-29 21:50:20,,new,2,2,2
[1076]_30-11-2014_1100.jpg,2014-11-29 22:00:20,,new,3,3,3
[1077]_30-11-2014_1110.jpg,2014-11-29 22:10:20,,new,6,6,6
[1078]_30-11-2014_1120.jpg,2014-11-29 22:20:20,,new,5,5,5
[1079]_30-11-2014_1130.jpg,2014-11-29 22:30:20,,new,5,5,5
[1080]_30-11-2014_1140.jpg,2014-11-29 22:40:20,,new,5,5,5
[1081]_30-11-2014_1150.jpg,2014-11-29 22:50:20,,new,5,5,5
